null,Sourced,Placed,References,Value,Footprint,Quantity
1,,,"C11, C13, C14, C15, C16, C20, C21, C22, C23, C24, C25",10uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,11
2,,,"C2, C4, C12, C26",1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4
3,,,"C5, C6",0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2
4,,,"C18, C19",0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2
5,,,C1,22uF,CP_Elec_6.3x7.7,1
6,,,C3,10uF 50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1
7,,,C7,(OPT),C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1
8,,,C8,100uF,CP_Elec_6.3x7.7,1
9,,,C9,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1
10,,,C10,DNP,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1
11,,,C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1
12,,,"R7, R13, R16, R23, R24",1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5
13,,,"R8, R25, R26",10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3
14,,,"R1, R11",5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2
15,,,"R5, R29",549E,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2
16,,,"R18, R19",100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2
17,,,"R30, R31",10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2
18,,,"R32, R33",0.01E,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2
19,,,R2,2.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
20,,,R3,499K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
21,,,R4,55K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
22,,,R6,60.4K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
23,,,R9,200E,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
24,,,R10,47.5K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
25,,,R12,(OPT),R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
26,,,R14,4.99K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
27,,,R15,73.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
28,,,R17,11.3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
29,,,R20,806K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
30,,,R21,1.47M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
31,,,R22,280K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
32,,,R27,3.92K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
33,,,R28,100E,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1
34,,,L1,5.5uH,L_12x12mm_H4.5mm,1
35,,,L2,470uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1
36,,,D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1
37,,,D2,B140,D_SMA,
Schottky Diode 1A 40V 0.5Vf SMA | Diodes Inc B140-13-F,,,,,,
,Diodes Inc.,,,,,
38,,,U1,LT3092EDD,DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias,
200mA 2-Terminal Programmable Current Source,,,,,,
